-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2006 through 12/31/2006 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
18.25,103.25,2006,1,12.45,78.14,0.0,97.48,2.03,2.46,1.52,0.94,68.44,3.75,5.42,2.39,3.04,68.59
18.25,103.75,2006,1,12.57,78.09,0.0,98.2,2.0,2.39,1.59,0.82,57.31,3.66,5.1,2.43,2.68,57.72
18.25,104.25,2006,1,12.43,81.77,0.0,96.63,1.78,2.11,1.48,0.63,52.41,3.46,4.26,2.71,1.55,53.57
18.25,104.75,2006,1,12.26,85.89,0.01,94.98,1.63,2.06,1.24,0.82,48.88,3.23,3.9,2.56,1.34,50.26
18.25,105.25,2006,1,12.63,89.79,0.07,95.57,1.89,2.7,1.2,1.5,46.19,3.34,4.17,2.4,1.77,47.36
18.25,105.75,2006,1,13.53,92.16,0.2,98.41,2.62,3.76,1.57,2.18,46.84,3.87,4.86,2.55,2.31,47.48
18.25,106.25,2006,1,14.43,91.03,0.44,101.14,3.57,4.24,2.43,1.8,56.31,4.6,5.36,3.21,2.15,56.28
18.25,106.75,2006,1,14.78,89.78,0.68,101.59,4.04,4.96,2.67,2.3,63.04,4.59,5.61,3.03,2.58,63.38
18.75,103.25,2006,1,11.4,76.9,0.0,93.48,1.36,1.65,1.05,0.6,87.02,2.63,3.57,1.63,1.94,85.9
18.75,103.75,2006,1,11.57,76.25,0.0,94.38,1.31,1.55,1.06,0.5,68.22,2.62,3.27,1.84,1.43,67.5
18.75,104.25,2006,1,11.83,83.8,0.0,94.15,1.33,1.55,1.0,0.56,57.87,2.71,3.18,2.26,0.93,58.2
18.75,104.75,2006,1,12.03,89.01,0.02,95.19,1.46,1.95,0.98,0.97,52.47,2.81,3.37,2.22,1.16,53.27
18.75,105.25,2006,1,12.68,91.96,0.13,98.0,2.26,3.25,1.39,1.86,49.49,3.54,4.35,2.42,1.93,50.13
18.75,105.75,2006,1,13.65,92.67,0.32,101.23,3.6,4.92,2.18,2.74,49.71,4.71,5.72,2.94,2.78,49.94
18.75,106.25,2006,1,14.16,91.09,0.45,101.72,4.68,5.32,2.84,2.48,57.16,5.37,6.21,3.21,3.0,57.56
18.75,106.75,2006,1,14.33,89.82,0.61,101.75,4.83,5.86,2.42,3.44,60.13,5.36,6.53,2.62,3.91,60.64
19.25,103.25,2006,1,10.11,72.54,0.0,90.15,0.97,1.51,0.53,0.98,115.97,1.8,2.84,0.96,1.89,115.01
19.25,103.75,2006,1,10.65,76.44,0.0,90.58,0.98,1.28,0.78,0.5,87.59,1.95,2.69,1.47,1.23,86.81
19.25,104.25,2006,1,11.43,84.69,0.0,92.5,1.06,1.37,0.65,0.72,74.77,2.05,2.74,1.59,1.15,74.56
19.25,104.75,2006,1,11.88,89.26,0.01,95.57,1.33,1.82,0.85,0.97,64.32,2.52,3.14,1.82,1.31,64.58
19.25,105.25,2006,1,12.49,91.6,0.11,98.84,2.24,3.1,1.39,1.71,58.56,3.54,4.24,2.26,1.98,58.89
19.25,105.75,2006,1,13.26,92.36,0.25,101.29,3.66,4.81,2.15,2.66,57.9,4.83,5.73,2.81,2.91,58.12
19.25,106.25,2006,1,13.7,91.44,0.32,101.78,4.91,5.65,2.91,2.75,60.88,5.65,6.6,3.23,3.37,61.5
19.25,106.75,2006,1,13.85,90.79,0.55,101.79,5.33,6.43,2.98,3.45,59.65,6.0,7.26,3.26,4.0,60.18
19.75,103.25,2006,1,9.15,66.89,0.0,89.82,0.92,1.6,0.24,1.36,146.59,1.64,2.86,0.49,2.38,145.89
19.75,103.75,2006,1,9.98,74.34,0.0,89.34,0.94,1.42,0.69,0.73,107.31,1.76,2.82,1.14,1.69,110.44
19.75,104.25,2006,1,10.93,81.94,0.0,91.33,1.0,1.46,0.6,0.85,99.09,1.83,2.9,1.06,1.84,100.86
19.75,104.75,2006,1,11.48,87.67,0.0,94.16,1.22,1.87,0.56,1.31,96.22,2.21,3.21,0.97,2.23,97.42
19.75,105.25,2006,1,12.15,90.84,0.03,97.81,1.9,2.86,0.77,2.1,85.31,3.02,4.04,1.14,2.9,86.18
19.75,105.75,2006,1,12.94,91.8,0.09,101.12,3.03,4.15,1.41,2.74,69.35,4.15,5.24,1.8,3.43,70.04
19.75,106.25,2006,1,13.31,91.88,0.19,101.78,4.25,4.97,2.66,2.31,67.75,5.24,6.15,3.14,3.0,68.69
19.75,106.75,2006,1,13.45,91.88,0.5,101.81,5.12,6.03,3.66,2.38,64.25,5.94,6.99,4.23,2.76,64.84
20.25,103.25,2006,1,8.64,64.2,0.0,90.65,1.01,1.69,0.22,1.47,155.23,1.85,3.06,0.49,2.56,154.22
20.25,103.75,2006,1,9.49,71.88,0.0,89.55,0.94,1.51,0.52,0.99,110.28,1.79,3.06,0.76,2.3,117.0
20.25,104.25,2006,1,10.52,79.45,0.0,91.31,1.08,1.7,0.65,1.05,110.41,1.97,3.48,0.9,2.58,114.38
20.25,104.75,2006,1,11.3,85.86,0.0,94.11,1.27,2.22,0.39,1.83,112.39,2.15,3.66,0.51,3.16,114.92
20.25,105.25,2006,1,12.02,89.65,0.03,97.64,1.73,2.98,0.28,2.7,102.02,2.67,4.34,0.39,3.95,103.64
20.25,105.75,2006,1,12.63,90.86,0.07,100.82,2.49,3.76,0.78,2.98,83.26,3.57,5.36,1.12,4.24,84.24
20.25,106.25,2006,1,12.88,91.06,0.14,101.77,3.36,4.21,2.26,1.95,78.16,4.62,5.76,3.08,2.68,79.09
20.25,106.75,2006,1,13.02,91.44,0.43,101.82,4.43,5.07,3.69,1.39,72.13,5.45,6.26,4.45,1.81,72.82
18.25,103.25,2006,2,12.2,77.66,0.0,97.4,1.96,2.64,1.36,1.29,74.79,3.51,4.9,2.06,2.84,74.95
18.25,103.75,2006,2,12.3,77.41,0.0,98.11,1.87,2.61,1.24,1.38,63.22,3.38,4.54,1.95,2.59,63.38
18.25,104.25,2006,2,12.35,82.18,0.0,96.54,1.62,2.26,1.19,1.06,55.72,3.11,3.88,2.33,1.55,56.65
18.25,104.75,2006,2,12.27,86.28,0.02,94.88,1.43,2.1,0.94,1.16,57.58,2.83,3.78,1.88,1.9,58.87
18.25,105.25,2006,2,12.62,89.49,0.07,95.47,1.67,2.5,1.0,1.51,64.79,3.01,4.16,1.88,2.27,66.38
18.25,105.75,2006,2,13.43,91.09,0.13,98.31,2.34,3.34,1.52,1.82,75.18,3.61,4.87,2.54,2.33,76.75
18.25,106.25,2006,2,14.19,89.84,0.21,101.06,2.99,4.02,2.29,1.73,88.41,4.05,5.74,2.96,2.78,88.75
18.25,106.75,2006,2,14.31,86.62,0.17,101.51,3.52,5.76,2.25,3.51,91.28,4.11,7.0,2.55,4.45,92.15
18.75,103.25,2006,2,11.16,75.61,0.0,93.39,1.31,1.6,0.96,0.65,94.29,2.49,3.54,1.52,2.01,93.08
18.75,103.75,2006,2,11.14,74.94,0.0,94.29,1.2,1.5,0.68,0.82,77.34,2.46,3.31,1.3,2.01,74.41
18.75,104.25,2006,2,11.6,82.91,0.0,94.04,1.15,1.5,0.7,0.8,64.87,2.37,3.0,1.47,1.53,64.13
18.75,104.75,2006,2,11.92,88.04,0.01,95.08,1.25,1.72,0.79,0.93,61.75,2.49,3.24,1.33,1.91,62.26
18.75,105.25,2006,2,12.6,90.91,0.03,97.88,1.91,2.56,1.2,1.36,62.36,3.12,4.0,1.73,2.27,62.94
18.75,105.75,2006,2,13.56,91.8,0.06,101.12,2.84,3.69,1.86,1.83,65.54,3.85,4.88,2.55,2.33,65.69
18.75,106.25,2006,2,14.07,90.62,0.07,101.63,3.09,4.03,2.37,1.66,74.59,3.63,5.1,2.71,2.39,75.34
18.75,106.75,2006,2,14.12,88.68,0.04,101.67,2.62,4.16,1.6,2.56,78.34,2.93,4.93,1.78,3.15,79.42
19.25,103.25,2006,2,10.02,71.19,0.0,90.04,0.97,1.43,0.52,0.91,120.99,1.82,3.1,0.92,2.17,120.15
19.25,103.75,2006,2,10.28,74.22,0.0,90.47,0.97,1.26,0.54,0.73,99.06,1.96,2.84,1.1,1.74,96.0
19.25,104.25,2006,2,11.09,82.34,0.0,92.39,1.0,1.28,0.58,0.7,85.66,1.94,2.57,1.07,1.5,84.75
19.25,104.75,2006,2,11.64,87.19,0.0,95.45,1.2,1.5,0.82,0.68,74.44,2.38,3.11,1.36,1.75,74.87
19.25,105.25,2006,2,12.36,90.12,0.02,98.72,1.88,2.41,1.28,1.13,68.25,3.18,4.06,1.91,2.16,68.62
19.25,105.75,2006,2,13.24,92.0,0.03,101.17,2.82,3.62,1.89,1.74,68.15,3.9,4.84,2.52,2.32,67.84
19.25,106.25,2006,2,13.82,93.12,0.03,101.67,3.27,3.93,2.52,1.41,73.38,3.82,4.62,2.87,1.75,73.94
19.25,106.75,2006,2,13.97,92.38,0.02,101.69,2.94,3.62,1.89,1.73,78.97,3.4,4.31,2.28,2.03,79.59
19.75,103.25,2006,2,9.09,65.72,0.0,89.7,0.9,1.58,0.28,1.29,149.29,1.66,3.27,0.59,2.68,149.22
19.75,103.75,2006,2,9.8,72.62,0.0,89.22,0.98,1.41,0.73,0.67,116.31,1.91,2.96,1.36,1.59,117.59
19.75,104.25,2006,2,10.58,79.9,0.0,91.21,1.03,1.38,0.67,0.71,106.31,1.91,2.82,1.34,1.48,108.07
19.75,104.75,2006,2,11.18,85.99,0.0,94.04,1.18,1.61,0.68,0.93,92.32,2.23,3.22,1.21,2.0,93.89
19.75,105.25,2006,2,11.98,89.82,0.0,97.69,1.76,2.36,0.94,1.42,81.79,2.94,4.01,1.41,2.6,82.78
