-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 10/24/2023 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
18.25,103.25,2023,1,8.65,79.36,0.0,97.82,2.62,4.03,1.91,2.12,60.41,4.68,5.59,3.64,1.95,60.38
18.25,103.75,2023,1,8.45,78.44,0.0,98.57,2.71,4.11,1.92,2.19,50.44,4.92,5.86,3.69,2.16,50.66
18.25,104.25,2023,1,8.06,79.14,0.0,96.97,2.43,3.36,1.85,1.51,47.99,4.71,5.51,3.85,1.66,48.86
18.25,104.75,2023,1,7.84,82.29,0.01,95.3,2.2,2.88,1.66,1.22,42.71,4.29,5.11,3.45,1.66,43.79
18.25,105.25,2023,1,8.22,86.48,0.06,95.93,2.52,3.33,1.76,1.56,48.89,4.31,5.23,3.3,1.93,46.59
18.25,105.75,2023,1,9.26,88.36,0.21,98.84,3.7,4.78,2.65,2.13,53.56,5.23,6.19,4.09,2.09,47.73
18.25,106.25,2023,1,10.65,82.69,0.55,101.6,5.82,6.72,4.89,1.83,16.44,7.32,8.05,6.41,1.64,17.03
18.25,106.75,2023,1,11.58,81.34,0.74,102.02,7.68,8.28,6.9,1.39,22.21,8.57,9.23,7.71,1.52,22.83
18.75,103.25,2023,1,8.43,80.51,0.0,93.74,1.63,2.27,1.13,1.14,60.24,3.11,3.87,2.21,1.66,59.12
18.75,103.75,2023,1,7.97,78.94,0.0,94.68,1.8,2.5,1.23,1.26,49.69,3.61,4.39,2.54,1.85,49.75
18.75,104.25,2023,1,7.67,81.41,0.01,94.45,1.73,2.3,1.28,1.02,47.41,3.54,4.48,2.76,1.71,47.82
