-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
18.25,103.25,2022,1,10.44,81.57,0.06,97.81,2.85,3.96,2.07,1.89,58.66,5.06,5.95,4.25,1.7,59.11
18.25,103.75,2022,1,10.35,82.47,0.24,98.55,2.85,3.95,2.09,1.86,47.41,5.15,5.97,4.21,1.77,47.94
18.25,104.25,2022,1,10.13,85.49,0.9,96.95,2.45,3.25,1.86,1.38,47.36,4.78,5.46,3.87,1.58,48.66
18.25,104.75,2022,1,10.0,88.99,1.57,95.28,2.26,3.04,1.61,1.44,43.07,4.51,5.52,3.45,2.06,44.49
18.25,105.25,2022,1,10.51,91.89,2.79,95.9,2.75,3.9,1.73,2.17,49.22,4.83,6.19,3.6,2.59,50.14
18.25,105.75,2022,1,11.67,92.4,3.94,98.79,3.99,5.51,2.55,2.96,56.81,5.79,7.24,4.49,2.75,57.04
18.25,106.25,2022,1,12.94,88.0,3.18,101.53,5.61,6.72,4.32,2.4,33.19,7.04,8.16,5.77,2.39,33.31
18.25,106.75,2022,1,13.43,84.2,1.55,101.97,6.87,8.08,5.66,2.42,40.26,7.73,9.14,6.38,2.76,40.84
18.75,103.25,2022,1,10.08,83.4,0.07,93.76,1.64,2.12,1.27,0.85,63.97,3.25,3.83,2.72,1.1,63.62
18.75,103.75,2022,1,9.74,83.25,0.3,94.69,1.75,2.29,1.36,0.92,48.47,3.56,4.0,2.95,1.06,48.97
18.75,104.25,2022,1,9.66,88.08,1.04,94.46,1.74,2.23,1.28,0.95,46.94,3.71,4.42,2.9,1.51,47.69
18.75,104.75,2022,1,9.77,91.94,1.88,95.53,1.88,2.68,1.23,1.45,68.24,3.81,4.78,2.73,2.06,64.44
18.75,105.25,2022,1,10.47,92.42,2.87,98.39,3.16,4.41,1.91,2.5,79.19,4.98,6.09,3.53,2.57,77.81
18.75,105.75,2022,1,11.65,89.49,3.47,101.66,5.4,6.91,3.51,3.4,66.46,6.98,8.15,5.23,2.93,72.08
18.75,106.25,2022,1,12.73,85.56,2.56,102.14,7.26,8.39,5.71,2.68,36.53,8.19,9.55,6.54,3.01,37.12
18.75,106.75,2022,1,13.12,84.16,1.28,102.16,7.8,9.18,6.46,2.71,42.96,8.56,10.18,7.05,3.13,43.7
19.25,103.25,2022,1,9.72,83.49,0.06,90.39,1.17,1.45,0.89,0.55,76.46,2.35,3.07,1.72,1.35,76.29
19.25,103.75,2022,1,9.19,84.97,0.23,90.86,1.25,1.63,0.89,0.74,64.06,2.52,3.1,1.79,1.31,64.19
19.25,104.25,2022,1,9.28,89.34,0.77,92.82,1.19,1.69,0.79,0.9,56.51,2.53,3.43,1.75,1.69,55.91
19.25,104.75,2022,1,9.58,91.81,1.42,95.94,1.54,2.27,1.0,1.27,83.84,3.21,4.01,2.27,1.74,79.38
19.25,105.25,2022,1,10.21,91.23,1.97,99.27,2.99,4.05,1.88,2.16,81.94,4.82,5.54,3.39,2.15,83.44
19.25,105.75,2022,1,11.11,88.09,2.19,101.74,5.29,6.58,3.49,3.1,47.89,6.87,7.76,4.84,2.92,59.35
19.25,106.25,2022,1,12.12,84.47,1.88,102.22,7.3,8.32,5.47,2.85,39.94,8.17,9.43,6.09,3.34,40.75
19.25,106.75,2022,1,12.48,83.89,1.06,102.22,7.97,9.17,6.31,2.86,45.89,8.73,10.16,6.84,3.32,46.68
19.75,103.25,2022,1,9.64,82.73,0.03,90.08,1.17,1.42,0.9,0.51,87.69,2.3,3.22,1.7,1.52,88.84
19.75,103.75,2022,1,9.0,85.66,0.11,89.62,1.16,1.6,0.75,0.86,84.84,2.24,2.93,1.48,1.45,85.44
19.75,104.25,2022,1,8.98,88.83,0.34,91.64,1.01,1.55,0.65,0.9,74.07,2.01,2.98,1.27,1.71,74.39
19.75,104.75,2022,1,9.17,90.99,0.63,94.53,1.28,1.97,0.63,1.34,73.38,2.53,3.36,1.32,2.05,73.63
19.75,105.25,2022,1,9.71,90.63,0.89,98.24,2.41,3.45,1.23,2.21,66.37,3.93,4.64,2.09,2.55,69.37
19.75,105.75,2022,1,10.5,87.75,1.06,101.58,4.28,5.58,2.58,3.0,51.71,5.82,6.62,3.56,3.06,57.52
19.75,106.25,2022,1,11.26,83.88,1.13,102.24,6.23,7.06,4.4,2.66,43.16,7.36,8.36,5.21,3.15,43.72
19.75,106.75,2022,1,11.65,82.62,0.75,102.27,7.52,8.57,5.68,2.89,48.58,8.37,9.66,6.27,3.39,49.24
20.25,103.25,2022,1,9.56,82.69,0.02,90.93,1.11,1.35,0.88,0.47,85.84,2.26,3.06,1.71,1.35,87.91
20.25,103.75,2022,1,8.88,86.44,0.05,89.85,1.14,1.56,0.74,0.82,92.34,2.29,2.94,1.54,1.39,94.03
20.25,104.25,2022,1,8.86,89.36,0.09,91.66,1.01,1.61,0.59,1.01,87.27,2.04,2.9,1.18,1.72,88.96
20.25,104.75,2022,1,9.03,90.81,0.14,94.5,1.15,1.9,0.44,1.46,75.74,2.13,3.0,0.71,2.29,76.55
20.25,105.25,2022,1,9.45,90.06,0.21,98.08,1.92,2.97,0.68,2.29,69.82,3.07,3.97,0.94,3.04,70.11
20.25,105.75,2022,1,9.99,87.39,0.33,101.31,3.26,4.57,1.54,3.03,66.07,4.68,5.7,2.14,3.55,66.42
20.25,106.25,2022,1,10.38,84.06,0.46,102.25,4.65,5.69,3.11,2.58,45.59,6.1,7.2,4.13,3.06,45.75
20.25,106.75,2022,1,10.74,80.66,0.36,102.29,6.46,7.47,4.84,2.64,50.89,7.45,8.81,5.58,3.23,51.3
18.25,103.25,2022,2,10.53,80.73,0.01,97.72,2.67,3.64,1.95,1.68,63.13,4.8,5.78,3.75,2.02,63.42
18.25,103.75,2022,2,10.44,80.78,0.04,98.46,2.72,3.72,2.02,1.7,52.53,4.96,5.84,4.13,1.7,53.09
18.25,104.25,2022,2,10.0,82.58,0.15,96.87,2.38,3.15,1.8,1.35,49.93,4.6,5.25,3.8,1.45,51.02
18.25,104.75,2022,2,9.76,86.24,0.26,95.2,2.12,2.78,1.49,1.29,45.44,4.2,4.96,3.21,1.75,46.86
18.25,105.25,2022,2,10.22,89.95,0.59,95.82,2.54,3.46,1.4,2.06,37.06,4.42,5.56,2.82,2.74,38.29
18.25,105.75,2022,2,11.35,91.12,1.13,98.69,3.81,5.23,1.85,3.38,29.21,5.45,7.09,3.05,4.05,29.91
18.25,106.25,2022,2,12.57,86.38,1.66,101.44,5.66,7.32,3.17,4.15,32.69,7.05,9.04,4.3,4.74,33.31
18.25,106.75,2022,2,13.13,83.48,0.9,101.87,7.0,9.1,4.02,5.08,38.14,7.86,10.35,4.52,5.84,38.96
18.75,103.25,2022,2,10.04,82.41,0.01,93.68,1.54,1.99,1.18,0.81,76.71,2.99,3.69,2.16,1.52,75.85
18.75,103.75,2022,2,9.92,82.03,0.05,94.6,1.61,2.11,1.21,0.9,56.69,3.23,3.82,2.57,1.25,56.75
18.75,104.25,2022,2,9.63,85.86,0.16,94.37,1.61,2.04,1.19,0.85,53.19,3.33,3.96,2.59,1.37,53.72
18.75,104.75,2022,2,9.61,89.78,0.29,95.44,1.67,2.21,1.0,1.21,46.33,3.26,4.12,2.0,2.12,46.97
18.75,105.25,2022,2,10.19,90.56,0.5,98.29,2.83,3.82,1.28,2.54,36.17,4.28,5.64,1.98,3.65,36.76
18.75,105.75,2022,2,11.25,87.78,0.76,101.56,4.97,6.64,2.28,4.35,28.22,6.24,8.27,2.89,5.39,28.84
18.75,106.25,2022,2,12.21,83.75,1.01,102.04,6.84,8.93,3.79,5.14,33.5,7.66,10.19,4.21,5.98,34.47
18.75,106.75,2022,2,12.7,82.92,0.61,102.05,7.46,9.59,4.49,5.1,37.4,8.15,10.63,4.83,5.81,38.37
19.25,103.25,2022,2,9.52,81.65,0.01,90.3,1.07,1.37,0.73,0.65,93.39,2.09,2.76,1.28,1.48,93.37
19.25,103.75,2022,2,9.4,84.0,0.04,90.76,1.12,1.37,0.8,0.57,73.47,2.25,2.81,1.65,1.16,73.34
19.25,104.25,2022,2,9.42,88.25,0.12,92.71,1.12,1.41,0.75,0.67,68.27,2.27,2.78,1.61,1.17,68.07
19.25,104.75,2022,2,9.58,90.1,0.2,95.83,1.36,1.82,0.71,1.11,55.23,2.66,3.52,1.21,2.3,55.26
19.25,105.25,2022,2,10.0,89.05,0.29,99.16,2.6,3.55,1.06,2.49,41.97,3.95,5.43,1.37,4.06,42.27
19.25,105.75,2022,2,10.71,85.96,0.38,101.63,4.67,6.32,2.0,4.31,34.52,5.82,7.96,2.37,5.59,35.1
19.25,106.25,2022,2,11.54,83.03,0.47,102.11,6.5,8.57,3.57,5.01,37.38,7.16,9.61,3.87,5.75,38.38
19.25,106.75,2022,2,12.0,82.58,0.31,102.11,7.25,9.1,4.75,4.35,39.98,7.87,9.98,5.13,4.85,40.95
19.75,103.25,2022,2,9.44,80.37,0.01,89.98,1.03,1.36,0.55,0.81,97.69,2.09,2.98,0.93,2.05,100.16
19.75,103.75,2022,2,9.22,84.34,0.02,89.51,1.06,1.29,0.8,0.5,92.81,2.09,2.83,1.48,1.34,94.03
19.75,104.25,2022,2,9.24,88.02,0.05,91.53,0.99,1.24,0.7,0.54,86.79,1.93,2.47,1.4,1.07,87.83
19.75,104.75,2022,2,9.27,89.8,0.08,94.41,1.22,1.58,0.76,0.82,71.42,2.31,3.01,1.25,1.76,72.05
19.75,105.25,2022,2,9.56,88.66,0.1,98.11,2.12,2.97,0.81,2.16,55.52,3.32,4.64,1.1,3.54,55.82
19.75,105.75,2022,2,10.12,85.41,0.13,101.46,3.64,5.16,1.23,3.94,45.47,4.77,6.84,1.48,5.37,45.82
19.75,106.25,2022,2,10.68,82.66,0.16,102.12,5.32,7.0,2.96,4.05,45.22,6.13,8.42,3.38,5.05,46.22
19.75,106.75,2022,2,11.15,81.83,0.11,102.15,6.57,8.11,4.55,3.56,46.32,7.2,9.05,4.99,4.06,47.19
20.25,103.25,2022,2,9.55,80.71,0.01,90.82,0.93,1.26,0.42,0.83,90.43,2.06,3.28,0.7,2.58,94.51
20.25,103.75,2022,2,9.19,84.44,0.02,89.73,1.03,1.3,0.87,0.43,99.28,2.12,3.04,1.46,1.57,101.91
20.25,104.25,2022,2,9.09,87.86,0.02,91.53,1.03,1.31,0.76,0.55,97.51,2.04,2.87,1.46,1.4,99.88
